Animal,Height (cm),Weight (kg),Color,Lifespan (years),Diet,Family,Top Speed (km/h),Social Structure
Galápagos Penguin,48-53,1.7-2.6,Black+White,15-20,Carnivore+Piscivore,Spheniscidae,35,Colony-based
Galápagos Tortoise,Up to 183,Up to 417,Brown+Grey,100-150,Herbivore,Testudinidae,0.3,Solitary
Galliformes,Varies,Varies,Varies,Varies,Omnivore,Phasianidae,Varies,Varies
Gaur,180-300,600-1300,Dark Brown+Black,20-25,Herbivore,Bovidae,30-40,Herd-based
Gerenuk,80-105,28-52,Brown+White,8-10,Herbivore,Bovidae,95,Solitary
Gharial,Up to 600,Up to 1500,Brownish-gray,40-60,Carnivore,Gavialidae,32,Solitary
Giant Pacific Octopus,Up to 5,Up to 25,Red+Brown,3-5,Carnivore,Enteroctopodidae,24,Solitary
Giant Panda,70-90,70-125,Black+White,20-30,Herbivore,Ursidae,32,Solitary
Gila Monster,Up to 60,Up to 2.3,Black+Orange,Up to 20,Carnivore,Helodermatidae,Not Applicable,Solitary
Glass Frog,2.2-7.7,Up to 0.03,Green+Transparent,10-14 days,Insectivore,Centrolenidae,Not Applicable,Solitary
Goblin Shark,Up to 320,Up to 210,Pinkish-gray,30-35,Carnivore,Mitsukurinidae,Not Applicable,Solitary
Goblin Shark,Up to 366,Up to 210,Pinkish-gray,30-35,Carnivore,Mitsukurinidae,Not Applicable,Solitary
Golden Lion Tamarin,Up to 35,Up to 0.7,Golden+Reddish-brown,10-15,Omnivore,Callitrichidae,8-13,Social groups
Golden Poison Dart Frog,3-6,Up to 2.4,Various,10-17,Insectivore,Dendrobatidae,0.3,Solitary
Great White Shark,Up to 610,Up to 2268,Grey,30-40,Carnivore,Lamnidae,56,Solitary
Great White Shark,Up to 670,Up to 2268,Gray+White,70,Carnivore,Lamnidae,56,Solitary
Green Anaconda,Up to 550,Up to 97.5,Olive-green,10-15,Carnivore,Boidae,24,Solitary
Green Sea Turtle,Up to 120,Up to 200,Greenish-brown,80-100,Herbivore,Cheloniidae,35,Solitary
Green Sea Turtle,70-120,68-190,Green,80,Herbivore,Cheloniidae,35,Solitary
Grevy's Zebra,130-160,350-450,White+Black,20-30,Herbivore,Equidae,64,Herd-based
Hagfish,Up to 127,Up to 0.7,Pink+Gray,Up to 300,Scavenger,Myxinidae,Not Applicable,Solitary
Hagfish,Up to 127,Up to 0.6,Pinkish-gray,Up to 30,Carnivore,Myxinidae,Not Applicable,Solitary
Harp Seal,Up to 180,Up to 160,Silver+Gray,20-35,Carnivore,Phocidae,28,Group-based
Harpy Eagle,86-107,4.5-9,Black+White,25-35,Carnivore,Accipitridae,50,Solitary
Hippopotamus,120-160,1300-3200,Grey,40-50,Herbivore,Hippopotamidae,30,Group-based
Horseshoe Crab,Up to 56,Up to 2.3,Brownish-gray,Up to 20 years,Carnivore+Scavenger,Limulidae,Not Applicable,Solitary
Hummingbird,7.5-13,2-20,Various,3-5,Nectar+Insects,Trochilidae,80,Solitary
Humpback Whale,Up to 1700,Up to 30000,Black+White,45-50,Omnivore,Balaenopteridae,24-27,Solitary
Iberian Lynx,60-70,9-14,Yellowish-brown,10-13,Carnivore,Felidae,70-80,Solitary
Indri,Up to 70,Up to 6,Black+White,15-18,Herbivore,Indridae,24-27,Solitary
Japanese Giant Hornet,35-55,Up to 6,Yellow+Black,3-6,Carnivore+Insectivore,Vespidae,Not Applicable,Colony-based
Japanese Macaque,50-60,10-14,Brown,20-30,Omnivore,Cercopithecidae,30,Social groups
Kakapo,Up to 60,Up to 4,Green,60,Herbivore,Strigopidae,2.4,Solitary
